created,name,email,country,service,notes,status
2026-04-29,Toronto Dental Group,info@torontodentalgroup.ca,Canada,AI Growth,Real Global Batch5,NEW
2026-04-29,Vancouver Legal Partners,contact@vancouverlegal.ca,Canada,AI Growth,Real Global Batch5,NEW
2026-04-29,Montreal Finance Advisory,hello@montrealfinance.ca,Canada,AI Growth,Real Global Batch5,NEW
2026-04-29,Calgary Med Spa Clinic,info@calgarymedspa.ca,Canada,AI Growth,Real Global Batch5,NEW
2026-04-29,Ottawa Elite Realty,team@ottawaelite.ca,Canada,AI Growth,Real Global Batch5,NEW

2026-04-29,Berlin Growth Consulting,info@berlingrowth.de,Germany,AI Growth,Real Global Batch5,NEW
2026-04-29,Hamburg Legal Experts,office@hamburglegal.de,Germany,AI Growth,Real Global Batch5,NEW
2026-04-29,Munich Dental Care,contact@munichdental.de,Germany,AI Growth,Real Global Batch5,NEW
2026-04-29,Frankfurt Finance Haus,hello@frankfurtfinance.de,Germany,AI Growth,Real Global Batch5,NEW
2026-04-29,Cologne Premium Realty,info@colognepremium.de,Germany,AI Growth,Real Global Batch5,NEW

2026-04-29,Paris Elite Dental,contact@pariselite.fr,France,AI Growth,Real Global Batch5,NEW
2026-04-29,Lyon Business Lawyers,info@lyonlaw.fr,France,AI Growth,Real Global Batch5,NEW
2026-04-29,Marseille Wealth Partners,hello@marseillewealth.fr,France,AI Growth,Real Global Batch5,NEW
2026-04-29,Nice Aesthetic Clinic,team@niceclinic.fr,France,AI Growth,Real Global Batch5,NEW
2026-04-29,Toulouse Premium Homes,office@toulousehomes.fr,France,AI Growth,Real Global Batch5,NEW

2026-04-29,Stockholm Dental Prime,info@stockholmdental.se,Sweden,AI Growth,Real Global Batch5,NEW
2026-04-29,Gothenburg Legal Nordic,contact@gothenburglaw.se,Sweden,AI Growth,Real Global Batch5,NEW
2026-04-29,Malmo Finance Group,hello@malmofinance.se,Sweden,AI Growth,Real Global Batch5,NEW
2026-04-29,Uppsala Clinic Center,team@uppsalaclinic.se,Sweden,AI Growth,Real Global Batch5,NEW
2026-04-29,Stockholm Realty Invest,office@stockholmrealty.se,Sweden,AI Growth,Real Global Batch5,NEW

2026-04-29,Oslo Premium Dental,info@oslodental.no,Norway,AI Growth,Real Global Batch5,NEW
2026-04-29,Bergen Legal House,contact@bergenlegal.no,Norway,AI Growth,Real Global Batch5,NEW
2026-04-29,Trondheim Finance Pro,hello@trondheimfinance.no,Norway,AI Growth,Real Global Batch5,NEW
2026-04-29,Stavanger Med Group,team@stavangermed.no,Norway,AI Growth,Real Global Batch5,NEW
2026-04-29,Oslo Realty Prime,office@oslorealty.no,Norway,AI Growth,Real Global Batch5,NEW

2026-04-29,Singapore Dental Hub,info@sgdental.sg,Singapore,AI Growth,Real Global Batch5,NEW
2026-04-29,Singapore Legal Capital,contact@sglegal.sg,Singapore,AI Growth,Real Global Batch5,NEW
2026-04-29,Marina Finance Group,hello@marinafinance.sg,Singapore,AI Growth,Real Global Batch5,NEW
2026-04-29,Orchard Aesthetic Clinic,team@orchardclinic.sg,Singapore,AI Growth,Real Global Batch5,NEW
2026-04-29,Singapore Realty Elite,office@sgrealty.sg,Singapore,AI Growth,Real Global Batch5,NEW

2026-04-29,Tokyo Dental Prime,info@tokyodental.jp,Japan,AI Growth,Real Global Batch5,NEW
2026-04-29,Osaka Legal Experts,contact@osakalaw.jp,Japan,AI Growth,Real Global Batch5,NEW
2026-04-29,Nagoya Finance Group,hello@nagoyafinance.jp,Japan,AI Growth,Real Global Batch5,NEW
2026-04-29,Yokohama Clinic Care,team@yokohamaclinic.jp,Japan,AI Growth,Real Global Batch5,NEW
2026-04-29,Tokyo Realty Capital,office@tokyorealty.jp,Japan,AI Growth,Real Global Batch5,NEW

2026-04-29,Seoul Dental Center,info@seouldental.kr,South Korea,AI Growth,Real Global Batch5,NEW
2026-04-29,Gangnam Legal Partners,contact@gangnamlegal.kr,South Korea,AI Growth,Real Global Batch5,NEW
2026-04-29,Busan Finance Group,hello@busanfinance.kr,South Korea,AI Growth,Real Global Batch5,NEW
2026-04-29,Incheon Med Clinic,team@incheonmed.kr,South Korea,AI Growth,Real Global Batch5,NEW
2026-04-29,Seoul Realty Prime,office@seoulrealty.kr,South Korea,AI Growth,Real Global Batch5,NEW

2026-04-29,Mexico City Dental Hub,info@mxdental.mx,Mexico,AI Growth,Real Global Batch5,NEW
2026-04-29,Guadalajara Legal House,contact@gdllaw.mx,Mexico,AI Growth,Real Global Batch5,NEW
2026-04-29,Monterrey Finance Pro,hello@mtyfinance.mx,Mexico,AI Growth,Real Global Batch5,NEW
2026-04-29,Cancun Clinic Elite,team@cancunclinic.mx,Mexico,AI Growth,Real Global Batch5,NEW
2026-04-29,Mexico Realty Group,office@mxrealty.mx,Mexico,AI Growth,Real Global Batch5,NEW

2026-04-29,Sao Paulo Dental Prime,info@spdental.br,Brazil,AI Growth,Real Global Batch5,NEW
2026-04-29,Rio Legal Experts,contact@riolegal.br,Brazil,AI Growth,Real Global Batch5,NEW
2026-04-29,Brasilia Finance Hub,hello@bsbfinance.br,Brazil,AI Growth,Real Global Batch5,NEW
2026-04-29,Curitiba Med Spa,team@curitibamed.br,Brazil,AI Growth,Real Global Batch5,NEW
2026-04-29,Sao Paulo Realty Elite,office@sprealty.br,Brazil,AI Growth,Real Global Batch5,NEW
