created,name,email,country,service,notes,status
2026-04-29 21:10:00,Toronto Smile Experts,info@torontosmileexperts.ca,Canada,Dentist,Toronto | https://torontosmileexperts.ca,NEW
2026-04-29 21:10:01,Vancouver Legal Group,contact@vancouverlegalgroup.ca,Canada,Law Firm,Vancouver | https://vancouverlegalgroup.ca,NEW
2026-04-29 21:10:02,Montreal Med Spa Center,hello@montrealmedspa.ca,Canada,Med Spa,Montreal | https://montrealmedspa.ca,NEW
2026-04-29 21:10:03,Calgary Roofing Pros,info@calgaryroofingpros.ca,Canada,Roofing,Calgary | https://calgaryroofingpros.ca,NEW
2026-04-29 21:10:04,Ottawa Realty Team,contact@ottawarealtyteam.ca,Canada,Real Estate,Ottawa | https://ottawarealtyteam.ca,NEW
2026-04-29 21:10:05,Mexico City Dental Care,info@mcdentalcare.mx,Mexico,Dentist,Mexico City | https://mcdentalcare.mx,NEW
2026-04-29 21:10:06,Guadalajara Growth Legal,contact@growthlegal.mx,Mexico,Law Firm,Guadalajara | https://growthlegal.mx,NEW
2026-04-29 21:10:07,Monterrey Med Spa,hello@monterreymedspa.mx,Mexico,Med Spa,Monterrey | https://monterreymedspa.mx,NEW
2026-04-29 21:10:08,Sao Paulo Prime Dental,info@spprimedental.com.br,Brazil,Dentist,Sao Paulo | https://spprimedental.com.br,NEW
2026-04-29 21:10:09,Rio Elite Realty,contact@rioeliterealty.com.br,Brazil,Real Estate,Rio de Janeiro | https://rioeliterealty.com.br,NEW
2026-04-29 21:10:10,Buenos Aires Legal Partners,info@balegalpartners.ar,Argentina,Law Firm,Buenos Aires | https://balegalpartners.ar,NEW
2026-04-29 21:10:11,Cordoba Smile Studio,hello@cordobasmile.ar,Argentina,Dentist,Cordoba | https://cordobasmile.ar,NEW
2026-04-29 21:10:12,Santiago Med Spa Experts,info@santiagomedspa.cl,Chile,Med Spa,Santiago | https://santiagomedspa.cl,NEW
2026-04-29 21:10:13,Valparaiso Realty Hub,contact@valporealty.cl,Chile,Real Estate,Valparaiso | https://valporealty.cl,NEW
2026-04-29 21:10:14,Lima Dental Center,info@limadental.pe,Peru,Dentist,Lima | https://limadental.pe,NEW
2026-04-29 21:10:15,Bogota Legal Experts,contact@bogotalegal.co,Colombia,Law Firm,Bogota | https://bogotalegal.co,NEW
2026-04-29 21:10:16,Medellin Beauty Clinic,hello@medellinbeauty.co,Colombia,Med Spa,Medellin | https://medellinbeauty.co,NEW
2026-04-29 21:10:17,Quito Prime Dental,info@quitoprimedental.ec,Ecuador,Dentist,Quito | https://quitoprimedental.ec,NEW
2026-04-29 21:10:18,Montevideo Realty Pro,contact@mvrealty.uy,Uruguay,Real Estate,Montevideo | https://mvrealty.uy,NEW
2026-04-29 21:10:19,Panama City Tax Advisors,info@pctax.pa,Panama,Finance,Panama City | https://pctax.pa,NEW
